,NU00295.csv,NU00429.csv,NU00431.csv,NU00468.csv,NU00759.csv,NU00826.csv,NU00866.csv,NU00908.csv,NU01094.csv,NU01115.csv,NU01405.csv,NU01420.csv,NU01482.csv,NU01713.csv,NU01798.csv,NU01929.csv,NU02064.csv,NU02359.csv,NU02514.csv,NU02738.csv
P2RY12+,35715,2128,805,333,200,40187,725,8843,65563,101087,20751,6133,10358,426,4856,26753,18939,11564,6260,4095
PD1+,58,63,178,79,21,275,136,13,346,0,11,677,68,116,111,326,134,1492,33,30
PDL1+,23,3071,1893,160,27,110,358,27,15942,251,399,1074,43,136,365,1973,191,10400,103,1016
Perforin+,11,6,11,1,0,12,8,0,2,31,0,0,5,1,1,28,9,21,0,0
SOX2+,0,10231,431,1,277,144726,31,10,3009,137433,3,15,80682,31596,44,22825,364,18984,0,72257
TIM3+,44365,21925,62901,7946,7560,77744,24393,6458,41093,74152,9811,52574,13986,12926,16659,33772,20430,87632,9178,7896
TNFa+,18,6,63,2,4,10,1,2,5,17,6,5,8,13,0,8,14,31,0,2
cCasp3+,38210,15910,9606,2592,1687,93175,4887,3880,26626,23393,7108,9435,1151,8256,35732,12760,10657,12730,697,2841
pLCK+,83,322,167,60,353,264,34,150,1378,70,83,41,204,1,252,1034,305,2343,58,25
pSTAT3+,16644,21748,2712,4320,249,28133,1834,3721,10136,5986,434,8080,10327,3978,4747,38919,21300,21925,676,2029
CD68+,3164,20113,20216,2575,3235,10799,9282,1114,8485,1291,2057,8359,2161,3743,943,2019,1650,14736,106,31
GFAP+Ki67+,2170,6119,1360,521,370,6797,1161,213,345,2474,270,254,8822,1393,2792,10734,3808,1582,1073,14208
GFAP+SOX2+,0,6685,272,1,191,88099,30,2,2175,77866,2,7,43485,14441,41,18105,183,13585,0,39467
GFAP+cCasp3+,24362,11820,1347,2038,222,68305,1371,2726,3371,15363,5715,6759,758,4579,14777,10970,8522,9313,200,1728
GFAP+pSTAT3+,9747,15597,911,2867,102,18731,970,2472,5618,3778,275,5165,7029,2609,1921,34722,15606,8564,251,1126
GFAP+PD1+,27,27,40,48,4,207,65,8,85,0,8,240,32,68,64,238,75,379,13,17
GFAP+TIM3+,18845,7521,12399,3894,1500,38335,13079,3095,15060,33914,3615,22109,7072,3636,3600,26046,10926,31536,1239,3880
CD4+Ki67+,8,78,587,0,4,285,73,6,650,64,3,32,6,65,56,172,52,1918,50,21
CD4+pSTAT3+,51,211,122,4,18,846,56,7,1885,225,3,88,16,47,52,656,67,2471,12,29
CD4+cCasp3+,54,222,112,6,29,759,47,7,1355,230,3,49,16,150,57,401,38,1098,34,75
CD4+FOXP3+,2,28,91,0,0,171,64,4,241,1,0,80,10,137,20,132,20,136,6,2
CD4+NFAT1+,4,4,10,8,10,11,5,1,19,3,0,2,0,2,6,10,4,17,0,3
CD4+NFAT2+,0,3,14,3,0,0,0,2,17,0,0,2,1,2,0,17,1,2,0,0
CD4+pLCK+,2,15,27,1,15,67,4,35,167,13,3,5,5,0,22,117,89,1852,6,1
CD4+NFAT1+pLCK+,2,4,8,1,9,8,1,1,12,3,0,1,0,0,6,9,2,6,0,1
CD4+NFAT2+pLCK+,0,3,11,1,0,0,0,1,12,0,0,1,0,0,0,13,1,1,0,0
CD4+PD1+,12,15,130,7,10,171,81,6,205,0,3,303,13,50,51,124,28,1058,11,13
CD4+CD103+,48,242,1672,11,221,3102,710,42,5445,243,54,537,31,298,65,267,174,8019,29,31
CD8+Ki67+,6,11,15,0,0,42,5,0,7,17,0,25,12,22,13,31,18,280,4,0
CD8+pSTAT3+,21,23,14,2,3,50,5,2,7,29,2,7,18,4,8,65,4,72,0,0
CD8+cCasp3+,17,25,11,3,9,49,6,5,10,32,4,17,11,18,8,48,4,75,0,0
CD8+FOXP3+,0,5,8,0,0,25,4,0,1,1,0,0,1,2,4,32,3,9,0,0
CD8+NFAT1+,7,5,10,7,3,11,6,1,7,3,0,2,0,2,6,12,7,5,0,0
CD8+NFAT2+,0,3,11,3,1,0,1,2,4,0,0,2,1,2,0,18,2,4,0,0
CD8+pLCK+,8,19,15,1,8,34,4,12,22,13,6,8,29,0,10,74,45,868,0,0
CD8+NFAT1+pLCK+,4,5,9,1,3,6,4,1,7,3,0,1,0,0,6,12,5,5,0,0
CD8+NFAT2+pLCK+,0,3,9,1,1,0,1,1,4,0,0,1,0,0,0,13,2,4,0,0
CD8+PD1+,13,6,17,4,2,44,12,2,23,0,3,202,20,32,7,46,5,1263,4,0
CD8+CD103+,56,46,98,18,10,97,81,11,135,132,13,278,37,59,8,87,27,280,36,0
CD8+Perforin+,8,4,6,0,0,11,6,0,2,16,0,0,1,0,0,24,6,3,0,0
CD8+GRZMB+,3,5,4,1,1,16,1,0,1,0,0,3,4,5,0,6,3,3,1,0
CD68+CD163+,279,5698,18098,413,2373,10211,8010,67,7033,125,364,6921,42,2317,263,726,236,13935,51,7
CD68+CD163+CD206+,237,135,4312,273,2062,5629,3968,61,5580,108,300,6499,42,1874,29,347,158,12370,28,6
CD163+CD206+,853,154,9569,617,5895,27365,7419,81,40390,846,751,27346,125,4995,104,4007,581,41021,270,1514
CD68+CD11c+,2903,13868,15133,1867,2769,5270,4534,992,4152,1247,1967,3538,2127,1757,930,1334,1431,13252,92,18
CD11c+CD205+,451,186,7016,20,43,2647,1259,77,1893,143,36,1690,121,323,5317,544,1350,9688,151,9
CD11c+CD103+,444,988,2940,341,2510,6645,5957,702,26554,1348,2226,4214,1122,614,1780,615,774,9562,154,128
CD11c+P2RY12+,32845,2036,586,290,182,18269,472,5067,15220,69940,13760,5624,8624,153,4741,20003,14848,11520,4969,3968
CD68+CD163+CD11c+,154,4696,14130,269,2237,4973,4187,33,3402,88,315,2525,39,938,262,349,172,12678,45,6
CD68+CD163+pSTAT3+,17,134,122,3,12,586,80,7,421,48,8,239,7,30,21,126,9,551,0,1
CD68+CD163+CD206+pSTAT3+,12,32,63,3,9,362,62,4,351,33,4,211,7,26,17,40,7,457,0,0
CD163+CD206+pSTAT3+,24,33,111,10,26,3274,158,6,2764,111,22,1744,18,66,42,458,32,2427,2,11
CD68+CD11c+pSTAT3+,235,226,121,20,18,329,64,12,224,61,5,170,57,30,31,152,49,562,0,1
CD11c+CD205+pSTAT3+,110,46,111,2,8,383,39,3,145,114,1,134,35,2,206,169,148,650,4,3
CD11c+CD103+pSTAT3+,61,53,72,6,13,607,87,10,198,294,10,106,33,5,95,110,63,738,2,11
P2RY12+pSTAT3+,4633,127,79,14,13,3982,56,488,1898,3315,79,475,522,14,189,907,1693,954,32,99
CD11c+P2RY12+pSTAT3+,4204,76,69,11,12,1605,48,200,331,1737,45,428,379,7,182,638,1203,944,23,83
CD68+pSTAT3+,251,865,141,24,20,615,94,19,425,66,13,309,66,67,33,297,60,588,0,7
CD163+pSTAT3+,41,166,373,15,49,7192,295,16,7015,289,42,1947,21,99,71,2496,44,3511,3,14
CD206+pSTAT3+,358,133,142,35,40,4165,338,54,3545,164,80,4666,2006,218,73,1039,728,5999,9,84
CD11c+pSTAT3+,6274,1337,483,306,61,2701,226,232,733,1919,50,1871,1616,172,1408,1574,2854,7638,122,390
CD68+CD163+CD11c+pSTAT3+,16,87,108,3,12,311,56,2,224,44,4,107,7,14,21,47,8,534,0,1
CD68+CD163+Ki67+,3,549,857,5,47,260,224,2,305,28,4,144,0,66,43,47,22,475,1,0
CD68+CD163+CD206+Ki67+,3,9,127,4,44,170,125,1,291,20,3,144,0,49,17,11,18,382,1,0
CD163+CD206+Ki67+,7,11,421,4,139,1019,219,1,1030,32,15,426,3,153,42,81,30,1695,10,168
CD68+CD11c+Ki67+,44,802,642,5,57,150,108,9,183,49,24,32,69,25,103,69,64,383,5,2
CD11c+CD205+Ki67+,9,14,335,1,0,195,38,3,52,43,1,15,7,9,926,31,41,363,4,1
CD11c+CD103+Ki67+,6,67,78,1,22,275,123,6,147,86,35,13,19,4,326,26,34,299,6,6
P2RY12+Ki67+,1729,64,54,0,1,2605,13,55,149,3481,311,25,290,5,485,364,688,328,193,736
CD11c+P2RY12+Ki67+,1556,57,33,0,1,1042,11,31,47,2137,241,20,241,3,481,273,497,328,156,710
CD68+Ki67+,49,1065,898,14,62,290,240,12,311,50,26,148,73,104,104,131,79,520,5,8
CD163+Ki67+,8,717,2877,5,173,3672,566,2,1271,77,25,446,7,220,197,661,41,2638,45,237
CD206+Ki67+,155,27,465,9,175,1312,271,6,1237,43,106,606,690,302,66,190,93,2425,39,492
CD11c+Ki67+,2208,1854,1716,71,300,1707,232,50,371,2346,250,128,2240,160,6749,618,933,2583,757,3571
CD68+CD163+CD11c+Ki67+,2,422,627,0,46,139,104,0,182,27,3,30,0,12,43,15,16,370,1,0
CD68+CD163+cCasp3+,21,111,80,6,64,779,96,9,367,51,16,134,6,149,35,50,7,124,0,1
CD68+CD163+CD206+cCasp3+,14,21,48,3,49,449,48,5,273,35,11,128,6,119,17,36,6,107,0,0
CD163+CD206+cCasp3+,37,21,149,7,110,6024,125,7,3651,123,31,2186,13,349,42,261,18,1364,3,27
CD68+CD11c+cCasp3+,173,206,76,18,75,398,61,17,298,69,34,70,11,101,92,57,19,124,1,4
CD11c+CD205+cCasp3+,173,46,153,3,11,563,52,5,191,120,4,100,23,30,942,146,69,257,3,3
CD11c+CD103+cCasp3+,42,56,75,4,76,965,128,24,3252,344,134,85,17,21,276,104,29,461,0,31
P2RY12+cCasp3+,9831,147,70,15,14,12856,44,639,8377,12845,1795,514,85,57,686,585,863,424,51,165
CD11c+P2RY12+cCasp3+,8798,90,60,13,11,4110,32,193,1694,7089,896,457,66,18,649,378,617,422,28,134
CD68+cCasp3+,187,642,96,23,111,828,117,34,515,78,49,170,13,228,94,66,26,133,1,14
CD163+cCasp3+,61,144,634,13,176,20248,447,28,9334,319,52,2341,13,485,202,1026,24,1937,10,31
CD206+cCasp3+,423,48,196,21,155,7415,284,55,5666,172,1510,5484,105,768,82,534,132,3013,20,144
CD11c+cCasp3+,12726,1284,877,260,326,6763,319,245,4341,7630,1002,2015,238,379,10582,612,1327,5814,135,419
CD68+CD163+CD11c+cCasp3+,15,76,71,6,54,382,56,2,211,46,11,56,6,65,35,43,7,117,0,1
CD68+CD163+HLADR+,116,4502,16928,283,779,8207,5966,47,2471,101,156,5623,11,2053,227,616,108,13874,32,5
CD68+CD163+CD206+HLADR+,74,118,3912,177,758,4629,2706,41,2226,84,116,5514,11,1657,23,251,73,12321,16,4
CD163+CD206+HLADR+,185,125,6614,260,1296,13694,4155,49,6829,571,160,16751,22,3026,36,2712,166,40074,100,88
CD68+CD11c+HLADR+,2454,11226,14422,353,804,4226,3538,949,1399,936,360,1918,1135,1442,791,1043,660,13208,55,12
CD11c+CD205+HLADR+,269,99,6646,8,14,1720,1077,74,785,101,8,1259,37,257,2774,436,674,9547,58,6
CD11c+CD103+HLADR+,334,874,2699,58,427,4208,3390,664,1416,958,339,539,536,402,1070,348,328,9155,65,23
P2RY12+HLADR+,8377,1551,723,16,13,12253,575,2983,3980,23227,458,2236,526,63,1073,8743,2162,11177,940,91
CD11c+P2RY12+HLADR+,8373,1513,557,16,12,7409,400,2819,949,22958,442,1952,520,43,1073,8190,2127,11171,925,73
CD68+HLADR+,2489,14887,18408,445,836,8661,6516,1025,2568,968,372,5948,1143,3138,801,1628,724,14645,62,25
CD163+HLADR+,231,5364,35190,455,1353,35059,10200,61,11120,852,222,17417,25,3907,645,8884,223,52697,233,108
CD206+HLADR+,978,368,7298,327,1435,14298,4623,217,7445,914,312,23522,438,4680,81,4980,515,49631,316,254
CD11c+HLADR+,10715,20143,31116,763,1440,14960,5811,3810,3472,25330,599,5203,4909,2688,6466,13600,3023,61296,1592,318
CD68+CD163+CD11c+HLADR+,97,3809,13513,210,762,3999,3339,28,1337,72,149,1662,11,817,227,271,88,12646,29,4
CD68+CD163+INFgamma+,4,12,6,2,0,32,4,8,3,0,3,3,6,1,15,36,4,7,0,1
CD68+CD163+CD206+INFgamma+,3,5,6,2,0,29,3,4,2,0,2,2,6,1,14,30,4,6,0,0
CD163+CD206+INFgamma+,3,5,6,2,3,34,3,4,2,0,3,6,6,1,16,38,4,10,0,0
CD68+CD11c+INFgamma+,7,16,6,17,0,32,5,3,2,0,4,5,6,0,17,33,5,7,0,3
CD11c+CD205+INFgamma+,4,4,6,6,3,30,2,1,3,0,1,3,11,2,23,40,5,7,0,1
CD11c+CD103+INFgamma+,4,5,6,6,0,32,4,3,0,0,8,4,6,1,18,38,4,3,0,2
P2RY12+INFgamma+,8,13,6,13,3,50,3,11,3,0,10,5,15,8,18,56,8,5,0,3
CD11c+P2RY12+INFgamma+,7,7,5,13,3,45,2,2,2,0,10,5,14,3,18,46,6,5,0,3
CD68+INFgamma+,7,35,7,22,1,38,7,14,4,0,4,6,9,6,23,40,7,10,0,6
CD163+INFgamma+,4,12,7,3,3,43,4,8,4,0,4,7,6,1,18,49,4,13,0,1
CD206+INFgamma+,5,8,7,5,3,38,4,4,4,0,11,11,24,3,19,42,8,14,0,2
CD11c+INFgamma+,11,35,11,42,3,49,7,3,5,0,10,10,30,5,37,58,16,21,0,3
CD68+CD163+CD11c+INFgamma+,4,5,5,2,0,28,3,2,2,0,3,3,6,0,15,33,4,6,0,1
CD68+CD163+TNFa+,7,4,18,1,2,9,1,1,3,13,2,2,5,1,0,7,3,5,0,0
CD68+CD163+CD206+TNFa+,6,1,17,1,2,9,0,1,2,11,1,1,5,1,0,7,3,3,0,0
CD163+CD206+TNFa+,6,1,19,1,3,9,0,1,2,12,2,3,5,1,0,7,3,7,0,0
CD68+CD11c+TNFa+,10,4,17,1,2,10,1,1,3,13,2,2,5,0,0,7,4,4,0,0
CD11c+CD205+TNFa+,6,2,19,1,3,9,0,1,2,13,1,2,7,2,0,7,3,4,0,0
CD11c+CD103+TNFa+,6,2,18,1,2,9,1,1,1,15,5,1,4,1,0,7,3,2,0,0
P2RY12+TNFa+,12,4,18,1,3,10,0,1,4,17,5,2,7,7,0,7,5,2,0,0
CD11c+P2RY12+TNFa+,11,2,17,1,3,10,0,1,3,16,5,2,7,2,0,7,4,2,0,0
CD68+TNFa+,12,6,18,1,3,10,1,1,4,13,3,2,5,5,0,7,6,6,0,1
CD163+TNFa+,7,4,23,1,3,9,1,1,4,15,3,4,5,1,0,7,3,9,0,0
CD206+TNFa+,6,1,20,1,3,9,0,1,3,12,4,4,7,2,0,7,4,9,0,1
CD11c+TNFa+,13,4,27,2,3,10,1,1,4,16,5,3,8,3,0,7,8,16,0,1
CD68+CD163+CD11c+TNFa+,7,2,17,1,2,9,1,1,2,13,2,2,5,0,0,7,3,4,0,0
CD68+CD163+CD4+,34,422,5594,7,275,2609,614,20,4024,60,42,635,20,740,21,275,63,11674,13,1
CD68+CD163+CD206+CD4+,30,48,1665,7,272,1625,352,19,3367,45,41,627,20,611,18,107,44,10424,9,0
CD163+CD206+CD4+,88,55,2189,16,404,2869,574,24,10563,140,71,1656,40,1043,45,460,107,26893,44,80
CD68+CD11c+CD4+,39,431,5024,11,280,1867,381,36,2183,56,38,250,19,415,23,185,127,11380,23,4
CD11c+CD205+CD4+,29,75,3358,8,17,1315,229,65,1334,109,5,244,28,139,104,228,248,9169,20,5
CD11c+CD103+CD4+,21,158,1393,8,214,2230,379,38,2627,188,45,153,29,135,65,182,148,7714,21,25
P2RY12+CD4+,111,162,83,16,27,3416,181,14,7453,321,21,240,31,54,60,575,254,10417,419,111
CD11c+P2RY12+CD4+,98,97,77,12,23,2523,156,7,2311,252,16,225,30,28,59,283,235,10411,407,83
CD68+CD4+,52,726,5608,16,285,2657,624,41,4107,62,43,640,22,879,23,359,137,11920,26,8
CD163+CD4+,99,478,7561,18,425,5197,1047,25,15789,300,72,1713,40,1252,72,1398,146,34195,104,83
CD206+CD4+,348,83,2212,21,425,2959,631,69,10891,164,79,2039,58,1313,51,608,232,28649,67,109
CD11c+CD4+,213,561,6441,15,419,3633,554,80,5444,301,60,622,68,605,142,605,459,35563,684,151
CD68+CD163+CD11c+CD4+,23,335,5014,3,272,1826,373,17,2127,55,37,249,19,323,21,126,55,11149,11,1
CD68+CD163+CD8+,14,18,23,3,9,52,29,3,47,25,6,117,7,7,6,34,4,305,0,0
CD68+CD163+CD206+CD8+,9,8,20,3,7,50,21,2,44,21,6,114,7,6,5,28,4,275,0,0
CD163+CD206+CD8+,11,8,44,3,8,78,36,2,146,40,7,423,10,24,5,44,5,1046,0,0
CD68+CD11c+CD8+,20,21,18,8,14,46,18,7,28,26,6,17,8,2,6,32,5,300,0,0
CD11c+CD205+CD8+,9,10,20,5,10,55,8,12,21,23,1,27,23,6,14,46,20,375,0,0
CD11c+CD103+CD8+,28,18,26,8,10,71,28,9,45,72,11,24,14,4,7,49,17,207,10,0
P2RY12+CD8+,43,21,15,8,2,92,5,9,30,102,11,12,27,11,7,66,18,276,3,0
CD11c+P2RY12+CD8+,39,13,14,8,2,77,4,4,11,80,10,11,25,2,7,56,16,276,0,0
CD68+CD8+,28,48,27,11,16,58,32,15,49,30,7,123,11,16,11,39,7,323,1,0
CD163+CD8+,16,19,110,3,11,97,77,4,175,45,7,437,12,28,6,61,6,1336,0,0
CD206+CD8+,30,11,47,5,13,91,40,12,159,75,12,534,40,46,5,54,15,1263,6,0
CD11c+CD8+,57,32,47,13,28,92,37,16,60,104,16,68,51,18,21,69,45,1538,12,0
CD68+CD163+CD11c+CD8+,12,10,17,2,9,42,16,2,28,23,6,16,7,2,6,32,4,286,0,0
CD68+CD163+TIM3+,278,4939,17047,310,2288,9908,7813,67,4845,125,360,6591,40,2268,241,712,234,13925,50,7
CD68+CD163+CD206+TIM3+,236,123,3904,211,2018,5478,3837,61,3989,108,296,6262,40,1839,25,335,156,12362,27,6
CD163+CD206+TIM3+,832,135,7048,367,4792,21798,6478,81,20795,845,716,25426,118,4400,87,3366,494,40509,229,1287
CD68+CD11c+TIM3+,2900,10537,14471,1431,2576,5175,4472,981,2299,1241,1815,3170,2023,1683,877,1253,1384,13244,92,14
CD11c+CD205+TIM3+,438,177,6730,20,36,2609,1142,75,1422,141,34,1682,70,315,4997,488,1303,9672,85,9
CD11c+CD103+TIM3+,444,910,2706,292,2271,6191,5201,699,3582,1344,2012,2526,1070,527,1495,578,725,9487,143,69
P2RY12+TIM3+,30770,1629,759,208,189,30337,681,4796,10487,67132,8555,6036,3703,161,3800,8687,12675,11524,3688,2090
CD11c+P2RY12+TIM3+,30013,1588,582,197,174,16202,455,4276,2509,60747,7562,5581,3679,121,3782,8124,11716,11503,3542,2023
CD68+TIM3+,3122,12439,18190,1715,2757,10388,8705,1091,5010,1283,1875,7502,2037,3442,880,1867,1569,14694,100,25
CD163+TIM3+,897,6468,38846,547,5568,63923,16304,110,36855,1289,872,29226,120,5647,979,10280,726,53427,694,1575
CD206+TIM3+,4561,328,7381,468,5321,22884,7347,375,22020,1531,3929,35117,1774,7070,196,5494,1823,50553,594,2357
CD11c+TIM3+,38964,18018,31486,6212,6406,28145,8956,5316,8522,65485,8269,22680,13654,4142,16310,14148,17246,66633,8293,5143
CD68+CD163+CD11c+TIM3+,154,4102,13652,215,2182,4911,4163,33,2234,88,315,2352,38,929,241,345,172,12673,45,6
CD68+CD163+PDL1+,1,96,52,3,14,41,23,7,353,39,12,438,7,2,23,72,20,628,0,1
CD68+CD163+CD206+PDL1+,1,19,38,3,14,41,21,6,292,27,7,430,7,2,17,56,20,446,0,0
CD163+CD206+PDL1+,4,26,75,4,22,81,40,8,2740,45,18,744,18,3,40,198,44,2180,2,20
CD68+CD11c+PDL1+,1,157,48,3,14,41,19,17,301,40,17,87,11,0,32,78,36,656,0,4
CD11c+CD205+PDL1+,4,48,82,3,12,82,42,25,350,87,6,85,24,1,263,103,119,1375,2,3
CD11c+CD103+PDL1+,4,54,59,3,16,83,37,22,2519,105,27,106,21,0,112,119,91,1173,1,27
P2RY12+PDL1+,10,98,60,4,13,86,40,4,6845,223,100,53,25,5,92,99,50,1770,2,65
CD11c+P2RY12+PDL1+,8,64,54,4,13,82,30,3,1715,199,60,50,23,1,92,78,46,1766,0,44
CD68+PDL1+,1,240,83,3,14,41,23,18,433,40,20,447,11,4,32,88,36,665,0,12
CD163+PDL1+,4,114,163,4,24,91,59,9,6777,108,26,777,18,4,75,324,47,4084,7,24
CD206+PDL1+,4,68,109,10,23,83,65,25,3538,46,115,835,26,15,43,389,108,3049,8,58
CD11c+PDL1+,11,403,226,14,24,84,61,25,2649,205,65,193,31,3,330,469,139,7378,16,134
CD68+CD163+CD11c+PDL1+,1,63,44,3,14,41,19,6,244,39,11,85,7,0,23,65,20,621,0,1
